"","Name","NOGA6","NOGA2.x","NOGA1","X2015","y2020","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Produktionslevel"
"32"," Erbringung von druckvorbereitenden Dienstleistungen","181301","18","1","70","52","-25.71428571","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"33"," Binden von Druckerzeugnissen und damit verbundene Dienstleistungen","181400","18","1","30","25","-16.66666667","1","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Low-technology"
"34"," Herstellung von Sch√§dlingsbek√§mpfungs-, Pflanzenschutz- und Desinfektionsmitteln","202000","20","2","61","20","-67.21311475","0","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"35"," Herstellung von Klebstoffen","205200","20","2","289","233","-19.37716263","1","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"36"," Herstellung von sonstigen chemischen Erzeugnissen a. n. g.","205900","20","2","573","296","-48.34205934","0","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-high-technology"
"37"," Herstellung von pharmazeutischen Grundstoffen","211000","21","2","29","34","17.24137931","3","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"38"," Herstellung von pharmazeutischen Spezialit√§ten und sonstigen pharmazeutischen Erzeugnissen","212000","21","2","18667","17943","-3.87850217","2","Life Sciences, Chemie, Pharma","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","High-technology"
"39"," Herstellung von sonstigen Kunststoffwaren","222900","22","2","19","17","-10.52631579","1","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"40"," Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschliesslich technischen Glaswaren","231900","23","2","24","19","-20.83333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
"41"," Herstellung von keramischen Haushaltswaren und Ziergegenst√§nden","234100","23","2","6","4","-33.33333333","0","Industrie, Produktion","Sekund‰rsektor (Industrieller Sektor, Produktion)","Keine Dienstleistung","Medium-low-technology"
