"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"63"," Herstellung von Schmuck, Gold- und Silberschmiedwaren a. n. g. (ohne Fantasieschmuck)","321202","32","3",102,95,-6.86274509803921,"-1"
"64"," Herstellung von Musikinstrumenten","322000","32","3",31,34,9.6774193548387,"1"
"65"," Herstellung von Spielwaren","324000","32","3",4,5,25,"2"
"66"," Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien","325001","32","3",14,37,164.285714285714,"2"
"67"," Herstellung von orthopädischen und prothetischen Erzeugnissen","325002","32","3",119,123,3.36134453781514,"0"
"68"," Zahntechnische Laboratorien","325003","32","3",596,712,19.4630872483222,"1"
"69"," Herstellung von Brillen","325004","32","3",215,211,-1.86046511627908,"0"
"70"," Herstellung von sonstigen Erzeugnissen a. n. g.","329900","32","3",33,31,-6.06060606060606,"-1"
"71"," Reparatur von Maschinen","331200","33","3",25,58,132,"2"
"72"," Reparatur von elektronischen und optischen Geräten","331300","33","3",8,5,-37.5,"-2"
"73"," Reparatur und Instandhaltung von Luft- und Raumfahrzeugen","331600","33","3",1218,973,-20.1149425287356,"-2"
"74"," Installation von Maschinen und Ausrüstungen a. n. g.","332000","33","3",10,19,90,"2"
"75"," Elektrizitätserzeugung","351100","35","3",4,6,50,"2"
"76"," Elektrizitätsverteilung","351300","35","3",568,575,1.23239436619718,"0"
"77"," Gasverteilung durch Rohrleitungen","352200","35","3",276,345,25,"2"
"78"," Wärme- und Kälteversorgung","353000","35","3",54,9,-83.3333333333333,"-2"
"79"," Abwasserentsorgung","370000","37","3",16,8,-50,"-2"
"80"," Behandlung und Beseitigung nicht gefährlicher Abfälle","382100","38","3",18,105,483.333333333333,"2"
"81"," Rückgewinnung sortierter Werkstoffe","383200","38","3",244,204,-16.3934426229508,"-1"
"82"," Entwicklung von Bauprojekten","411000","41","4",15,45,200,"2"
"83"," Allgemeiner Hochbau","412001","41","4",338,398,17.7514792899408,"1"
"84"," Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt","412003","41","4",913,932,2.08105147864184,"0"
"85"," Unterhalt und Reparatur von Gebäuden","412004","41","4",163,102,-37.4233128834356,"-2"
"86"," Bau von Strassen","421100","42","4",116,130,12.0689655172414,"1"
"87"," Bau von Bahnverkehrsstrecken","421200","42","4",167,193,15.5688622754491,"1"
"88"," Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau","422100","42","4",14,13,-7.14285714285714,"-1"
"89"," Sonstiger Tiefbau a. n. g.","429900","42","4",44,36,-18.1818181818182,"-1"
"90"," Abbrucharbeiten","431100","43","4",8,13,62.5,"2"
"91"," Elektroinstallation","432100","43","4",2661,2234,-16.0465990229237,"-1"
"92"," Sanitärinstallation","432201","43","4",54,55,1.85185185185186,"0"
"93"," Sanitärinstallation und Spenglerei","432202","43","4",280,252,-10,"-1"
"94"," Sanitär- und Heizungsinstallation","432203","43","4",310,290,-6.45161290322581,"-1"
"95"," Installation von Heizungs-, Lüftungs- und Klimaanlagen","432204","43","4",568,621,9.33098591549295,"1"
"96"," Dämmung gegen Kälte, Wärme, Schall und Erschütterung","432901","43","4",118,83,-29.6610169491525,"-2"
"97"," Sonstige Bauinstallation","432902","43","4",139,79,-43.1654676258993,"-2"
"98"," Anbringen von Stuckaturen, Gipserei und Verputzerei","433100","43","4",291,277,-4.81099656357389,"0"
"99"," Einbau von Fenster, Türen und Innenausbau, Einbauküchen, Einbaumöbel","433200","43","4",148,107,-27.7027027027027,"-2"
"100"," Verlegen von Fussboden","433301","43","4",195,182,-6.66666666666667,"-1"
"101"," Verlegen von Fliesen und Platten","433302","43","4",204,199,-2.45098039215687,"0"
"102"," Malerei","433401","43","4",765,668,-12.6797385620915,"-1"
"103"," Malerei und Gipserei ohne ausgeprägten Schwerpunkt","433402","43","4",177,205,15.819209039548,"1"
"104"," Glaserei","433403","43","4",44,49,11.3636363636364,"1"
"105"," Sonstiger Ausbau a. n. g.","433900","43","4",15,14,-6.66666666666667,"-1"
"106"," Holzbau, Zimmerei","439101","43","4",34,56,64.7058823529412,"2"
"107"," Dachdeckerei","439102","43","4",115,97,-15.6521739130435,"-1"
"108"," Bauspenglerei","439103","43","4",13,17,30.7692307692308,"2"
"109"," Abdichtungen","439901","43","4",43,34,-20.9302325581395,"-2"
"110"," Gerüstbau","439902","43","4",74,80,8.10810810810811,"1"
"111"," Maurerarbeiten","439903","43","4",78,60,-23.0769230769231,"-2"
"112"," Sonstiger spezialisierter Hoch- und Tiefbau a. n. g.","439905","43","4",302,83,-72.5165562913907,"-2"
