"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"277"," Andere Banken","641911","64","6",536,482,-10.0746268656716,"-1"
"278"," Sonstige Kreditinstitute (ohne Spezialkreditinstitute) a. n. g.","641912","64","6",15,17,13.3333333333333,"1"
"279"," Andere Holdinggesellschaften","642002","64","6",72,81,12.5,"1"
"280"," Sonstige Spezialkreditinstitute","649202","64","6",38,39,2.63157894736843,"0"
"281"," Investmentgesellschaften","649901","64","6",162,189,16.6666666666667,"1"
"282"," Tresorerie innerhalb einer Unternehmensgruppe","649902","64","6",33,19,-42.4242424242424,"-2"
"283"," Sonstige Finanzierungsinstitutionen a. n. g.","649903","64","6",21,44,109.52380952381,"2"
"284"," Lebensversicherungen","651100","65","6",279,324,16.1290322580645,"1"
"285"," Unfallversicherung (SUVA)","651201","65","6",140,118,-15.7142857142857,"-1"
"286"," Unfall- und Schadenversicherung","651202","65","6",3376,3534,4.68009478672986,"0"
"287"," Krankenkassen","651203","65","6",230,210,-8.69565217391305,"-1"
"288"," Sonstige Versicherungen (ohne Sozialversicherung) a. n. g.","651204","65","6",48,41,-14.5833333333333,"-1"
"289"," Pensionskassen und Pensionsfonds","653000","65","6",220,215,-2.27272727272727,"0"
"290"," Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten","661900","66","6",221,203,-8.1447963800905,"-1"
"291"," Risiko- und Schadensbewertung","662100","66","6",28,29,3.57142857142858,"0"
"292"," Tätigkeit von Versicherungsmaklerinnen und -maklern","662200","66","6",590,617,4.57627118644068,"0"
"293"," Ausgleichskassen","662901","66","6",159,164,3.14465408805031,"0"
"294"," Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten a. n. g.","662902","66","6",347,701,102.017291066282,"2"
"295"," Fondsleitungen","663001","66","6",228,251,10.0877192982456,"1"
"296"," Fondsmanagement","663002","66","6",560,606,8.21428571428571,"1"
"297"," Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen","681000","68","6",196,169,-13.7755102040816,"-1"
"298"," Vermietung und Verpachtung von eigenen oder geleasten Grundstücken","682001","68","6",47,46,-2.12765957446809,"0"
"299"," Vermietung und Verpachtung von eigenen oder geleasten Gebäuden und Wohnungen","682002","68","6",651,850,30.568356374808,"2"
"300"," Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte","683100","68","6",189,207,9.52380952380953,"1"
"301"," Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte","683200","68","6",1595,1492,-6.4576802507837,"-1"
"302"," Advokatur-, Notariatsbüros","691001","69","6",1072,1163,8.48880597014925,"1"
"303"," Patentanwaltsbüros, Patentverwertung","691002","69","6",76,86,13.1578947368421,"1"
"304"," Wirtschaftsprüfung und Steuerberatung, Buchführung, Treuhandgesellschaften","692000","69","6",1675,1682,0.417910447761205,"0"
"305"," Firmensitzaktivitäten von anderen Gesellschaften","701002","70","7",4410,4455,1.0204081632653,"0"
"306"," Public-Relations-Beratung","702100","70","7",268,354,32.089552238806,"2"
"307"," Unternehmensberatung","702200","70","7",2105,2407,14.3467933491686,"1"
"308"," Architekturbüros","711101","71","7",2736,3022,10.453216374269,"1"
"309"," Raumplanungsbüros","711102","71","7",39,38,-2.56410256410257,"0"
"310"," Landschaftsplanungsbüros und Gartenarchitekturbüros","711103","71","7",73,93,27.3972602739726,"2"
"311"," Bau-Ingenieurbüros","711201","71","7",1004,848,-15.5378486055777,"-1"
"312"," Gebäudetechnik-Ingenieurbüros","711202","71","7",195,172,-11.7948717948718,"-1"
"313"," Sonstige Ingenieurbüros","711203","71","7",926,1430,54.4276457883369,"2"
"314"," Geometerbüros","711204","71","7",6,7,16.6666666666667,"1"
"315"," Sonstige technische Beratung und Planung","711205","71","7",552,579,4.8913043478261,"0"
"316"," Technische, physikalische und chemische Untersuchung","712000","71","7",269,397,47.5836431226766,"2"
"317"," Forschung und Entwicklung im Bereich Biotechnologie","721100","72","7",500,658,31.6,"2"
"318"," Sonstige Forschung und Entwicklung im Bereich Natur-, Ingenieur-, Agrarwissenschaften und Medizin","721900","72","7",2317,2541,9.66767371601209,"1"
"319"," Forschung und Entwicklung im Bereich Rechts-, Wirtschafts- und Sozialwissenschaften sowie im Bereich Sprach-, Kultur- und Kunstwissenschaften","722000","72","7",70,70,0,"0"
"320"," Werbeagenturen","731100","73","7",886,779,-12.0767494356659,"-1"
"321"," Vermarktung und Vermittlung von Werbezeiten und Werbeflächen","731200","73","7",95,52,-45.2631578947368,"-2"
"322"," Markt- und Meinungsforschung","732000","73","7",95,36,-62.1052631578947,"-2"
"323"," Industrie- und Produktdesign","741001","74","7",92,113,22.8260869565217,"2"
"324"," Grafikdesign und Visuelle Kommunikation","741002","74","7",499,499,0,"0"
"325"," Innenarchitektur und Raumgestaltung","741003","74","7",177,174,-1.69491525423728,"0"
"326"," Fotografie","742001","74","7",166,161,-3.01204819277109,"0"
"327"," Fotolabors","742002","74","7",6,4,-33.3333333333333,"-2"
"328"," Übersetzen und Dolmetschen","743000","74","7",175,121,-30.8571428571429,"-2"
"329"," Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten a. n. g.","749000","74","7",308,340,10.3896103896104,"1"
"330"," Veterinärwesen","750000","75","7",61,61,0,"0"
"331"," Vermietung von Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","771100","77","7",237,226,-4.64135021097046,"0"
"332"," Vermietung von sonstigen Gebrauchsgütern","772900","77","7",6,6,0,"0"
"333"," Vermietung von sonstigen Maschinen, Geräten und beweglichen Sachen a. n. g.","773900","77","7",28,20,-28.5714285714286,"-2"
"334"," Leasing von geistigem Eigentum und ähnlichen Produkten (ohne Copyrights)","774000","77","7",32,13,-59.375,"-2"
"335"," Vermittlung von Arbeitskräften","781000","78","7",637,830,30.298273155416,"2"
"336"," Befristete Überlassung von Arbeitskräften","782000","78","7",6530,6753,3.41500765696785,"0"
"337"," Reisebüros","791100","79","7",443,280,-36.7945823927765,"-2"
"338"," Reiseveranstalter","791200","79","7",69,165,139.130434782609,"2"
"339"," Erbringung sonstiger Reservierungsdienstleistungen","799002","79","7",109,99,-9.1743119266055,"-1"
"340"," Private Wach- und Sicherheitsdienste","801000","80","8",1286,1271,-1.16640746500778,"0"
"341"," Hausmeisterdienste, Facility Management","811000","81","8",678,773,14.0117994100295,"1"
"342"," Allgemeine Gebäudereinigung","812100","81","8",3947,3178,-19.483151760831,"-1"
"343"," Kaminfeger","812201","81","8",19,16,-15.7894736842105,"-1"
"344"," Spezielle Reinigung von Gebäuden und Reinigung von Maschinen","812202","81","8",34,12,-64.7058823529412,"-2"
"345"," Reinigung a. n. g.","812900","81","8",462,482,4.32900432900434,"0"
"346"," Garten- und Landschaftsbau sowie Erbringung von sonstigen gärtnerischen Dienstleistungen","813000","81","8",192,210,9.375,"1"
"347"," Allgemeine Sekretariats- und Schreibdienste","821100","82","8",5,13,160,"2"
"348"," Sekretariats- und Schreibdienste","821901","82","8",121,83,-31.4049586776859,"-2"
"349"," Copy Shops","821902","82","8",15,11,-26.6666666666667,"-2"
"350"," Call Centers","822000","82","8",38,31,-18.4210526315789,"-1"
"351"," Messe-, Ausstellungs- und Kongressveranstalter","823000","82","8",642,389,-39.4080996884735,"-2"
"352"," Inkassobüros und Auskunfteien","829100","82","8",27,27,0,"0"
"353"," Abfüllen und Verpacken","829200","82","8",13,11,-15.3846153846154,"-1"
"354"," Erbringung sonstiger wirtschaftlicher Dienstleistungen für Unternehmen und Privatpersonen a. n. g.","829900","82","8",31,87,180.645161290323,"2"
"355"," Allgemeine öffentliche Verwaltung","841100","84","8",1291,1245,-3.56312935708752,"0"
"356"," Öffentliche Verwaltung auf den Gebieten Gesundheitswesen, Bildung, Kultur und Sozialwesen","841200","84","8",832,1044,25.4807692307692,"2"
"357"," Wirtschaftsförderung, -ordnung und -aufsicht","841300","84","8",740,748,1.08108108108107,"0"
"358"," Auswärtige Angelegenheiten","842100","84","8",8,7,-12.5,"-1"
"359"," Verteidigung","842201","84","8",29,27,-6.89655172413793,"-1"
"360"," Verwaltung der Rechtspflege, Gerichte","842301","84","8",815,840,3.06748466257669,"0"
"361"," Verwaltung von Strafvollzugsanstalten","842302","84","8",61,58,-4.91803278688525,"0"
"362"," Öffentliche Sicherheit und Ordnung","842400","84","8",1940,1917,-1.18556701030927,"0"
"363"," Feuerwehren","842500","84","8",110,209,90,"2"
"364"," Alters- und Hinterlassenenversicherung (AHV), Invalidenversicherung (IV), Arbeitslosenversicherung (ALV)","843000","84","8",130,134,3.07692307692307,"0"
"365"," Kindergärten und Vorschulen","851000","85","8",437,657,50.3432494279176,"2"
"366"," Primarschulen","852001","85","8",2039,2401,17.7538008827857,"1"
"367"," Sonderschulen","852002","85","8",427,269,-37.0023419203747,"-2"
"368"," Obligatorische Schulen a. n. g.","852003","85","8",139,166,19.4244604316547,"1"
"369"," Bezirks-, Sekundar-, Realschulen, Oberstufe der Primarschulen","853101","85","8",903,976,8.08416389811739,"1"
"370"," Maturitätsschulen","853102","85","8",802,682,-14.9625935162095,"-1"
"371"," Fachmittelschulen FMS (bisher: Diplommittelschulen DMS)","853103","85","8",183,209,14.207650273224,"1"
"372"," Berufsbildende weiterführende Schulen","853200","85","8",1148,1090,-5.05226480836237,"-1"
"373"," Universitäre Hochschulen","854201","85","8",4338,4707,8.50622406639003,"1"
"374"," Andere Ausbildungsstätten der höheren Berufsbildung","854203","85","8",26,40,53.8461538461539,"2"
"375"," Sport- und Freizeitunterricht","855100","85","8",198,290,46.4646464646465,"2"
"376"," Kulturunterricht","855200","85","8",644,717,11.3354037267081,"1"
"377"," Fahr- und Flugschulen","855300","85","8",89,93,4.49438202247192,"0"
"378"," Sprachunterricht","855901","85","8",496,596,20.1612903225806,"2"
"379"," Informatikunterricht","855902","85","8",20,23,15,"1"
"380"," Berufliche Erwachsenenbildung","855903","85","8",847,820,-3.18772136953955,"0"
"381"," Sonstiger Unterricht a. n. g.","855904","85","8",168,162,-3.57142857142857,"0"
"382"," Erbringung von Dienstleistungen für den Unterricht","856000","85","8",50,28,-44,"-2"
"383"," Allgemeine Krankenhäuser","861001","86","8",8786,10137,15.3767357159117,"1"
"384"," Spezialkliniken","861002","86","8",4196,4431,5.60057197330792,"1"
"385"," Arztpraxen für Allgemeinmedizin","862100","86","8",1051,1280,21.7887725975262,"2"
"386"," Facharztpraxen","862200","86","8",1559,1746,11.9948685054522,"1"
"387"," Zahnarztpraxen","862300","86","8",873,862,-1.26002290950744,"0"
"388"," Psychotherapie und Psychologie","869001","86","8",247,257,4.04858299595141,"0"
"389"," Physiotherapie","869002","86","8",614,796,29.6416938110749,"2"
"390"," Aktivitäten der Krankenschwestern, Hauspflege","869003","86","8",1026,1355,32.0662768031189,"2"
"391"," Aktivitäten der Hebammen","869004","86","8",30,68,126.666666666667,"2"
"392"," Sonstige Aktivitäten der nicht-ärztlichen Medizinalberufe","869005","86","8",480,473,-1.45833333333333,"0"
"393"," Medizinische Labors","869006","86","8",173,267,54.3352601156069,"2"
"394"," Sonstiges Gesundheitswesen a. n. g.","869007","86","8",222,332,49.5495495495496,"2"
"395"," Pflegeheime","871000","87","8",3159,3489,10.4463437796771,"1"
"396"," Institutionen für Suchtkranke","872001","87","8",90,113,25.5555555555556,"2"
"397"," Institutionen für psychosoziale Fälle","872002","87","8",136,154,13.2352941176471,"1"
"398"," Altersheime","873001","87","8",301,226,-24.9169435215947,"-2"
"399"," Institutionen für Behinderte","873002","87","8",908,1006,10.7929515418502,"1"
"400"," Wohnheime für Kinder und Jugendliche","879001","87","8",478,479,0.2092050209205,"0"
"401"," Erziehungsheime","879002","87","8",26,32,23.0769230769231,"2"
"402"," Sonstige Wohnheime","879003","87","8",253,272,7.5098814229249,"1"
"403"," Soziale Betreuung älterer Menschen und Behinderter","881000","88","8",1089,892,-18.0899908172635,"-1"
"404"," Tagesbetreuung von Kindern","889100","88","8",1465,1679,14.6075085324232,"1"
"405"," Organisationen der Wohlfahrtspflege","889901","88","8",582,675,15.979381443299,"1"
"406"," Sonstiges Sozialwesen a. n. g.","889902","88","8",1479,1632,10.3448275862069,"1"
"407"," Theater- und Ballettgruppen","900101","90","9",731,668,-8.61833105335157,"-1"
"408"," Orchester, Chöre, Musiker","900102","90","9",1132,1087,-3.97526501766784,"0"
"409"," Erbringung von Dienstleistungen für die darstellende Kunst","900200","90","9",74,99,33.7837837837838,"2"
"410"," Selbstständige bildende Künstler","900301","90","9",236,223,-5.50847457627118,"-1"
"411"," Sonstige künstlerische und schriftstellerische Tätigkeiten und Darbietungen","900302","90","9",77,76,-1.2987012987013,"0"
"412"," Selbstständige Journalisten","900303","90","9",76,73,-3.94736842105263,"0"
"413"," Betrieb von Kultur- und Unterhaltungseinrichtungen","900400","90","9",142,122,-14.0845070422535,"-1"
"414"," Bibliotheken und Archive","910100","91","9",249,244,-2.00803212851406,"0"
"415"," Museen","910200","91","9",633,721,13.9020537124803,"1"
"416"," Betrieb von historischen Stätten und Gebäuden und ähnlichen Attraktionen","910300","91","9",5,7,40,"2"
"417"," Botanische und zoologische Gärten sowie Naturparks","910400","91","9",148,222,50,"2"
"418"," Spiel-, Wett- und Lotteriewesen","920000","92","9",448,428,-4.46428571428571,"0"
"419"," Betrieb von Sportanlagen","931100","93","9",174,193,10.9195402298851,"1"
"420"," Sportvereine","931200","93","9",489,478,-2.24948875255624,"0"
"421"," Gymnastik- und Fitnesszentren","931300","93","9",536,514,-4.10447761194029,"0"
"422"," Erbringung von sonstigen Dienstleistungen des Sports","931900","93","9",69,54,-21.7391304347826,"-2"
"423"," Vergnügungs- und Themenparks","932100","93","9",22,14,-36.3636363636364,"-2"
"424"," Erbringung von Dienstleistungen der Unterhaltung und der Erholung a. n. g.","932900","93","9",256,283,10.546875,"1"
"425"," Wirtschafts- und Arbeitgeberverbände","941100","94","9",203,263,29.5566502463054,"2"
"426"," Berufsorganisationen","941200","94","9",347,314,-9.51008645533141,"-1"
"427"," Arbeitnehmervereinigungen","942000","94","9",62,61,-1.61290322580645,"0"
"428"," Kirchgemeinden und religiöse Vereinigungen","949101","94","9",1081,841,-22.2016651248844,"-2"
"429"," Klöster und Ordensgemeinschaften","949102","94","9",37,32,-13.5135135135135,"-1"
"430"," Politische Parteien und Vereinigungen","949200","94","9",21,31,47.6190476190476,"2"
"431"," Organisationen der Kultur, Bildung, Wissenschaft und Forschung","949901","94","9",491,630,28.3095723014257,"2"
"432"," Organisationen des Gesundheitswesens","949902","94","9",103,167,62.1359223300971,"2"
"433"," Jugendorganisationen","949903","94","9",262,415,58.3969465648855,"2"
"434"," Sonstige Interessenvertretungen und Vereinigungen a. n. g.","949904","94","9",1107,895,-19.1508581752484,"-1"
"435"," Reparatur von Telekommunikationsgeräten","951200","95","9",13,25,92.3076923076923,"2"
"436"," Reparatur von Schuhen und Lederwaren","952300","95","9",25,20,-20,"-1"
"437"," Reparatur von Möbeln und Einrichtungsgegenständen","952400","95","9",45,32,-28.8888888888889,"-2"
"438"," Reparatur von Uhren und Schmuck","952500","95","9",6,8,33.3333333333333,"2"
"439"," Reparatur von sonstigen Gebrauchsgütern","952900","95","9",54,48,-11.1111111111111,"-1"
"440"," Wäscherei","960101","96","9",301,264,-12.2923588039867,"-1"
"441"," Textilreinigung","960102","96","9",49,37,-24.4897959183674,"-2"
"442"," Coiffeursalons","960201","96","9",936,914,-2.35042735042735,"0"
"443"," Kosmetiksalons","960202","96","9",340,373,9.70588235294119,"1"
"444"," Bestattungswesen","960300","96","9",98,99,1.0204081632653,"0"
"445"," Saunas, Solarien","960401","96","9",17,19,11.7647058823529,"1"
"446"," Sonstiges Körperpflegegewerbe","960402","96","9",97,141,45.360824742268,"2"
"447"," Erbringung von sonstigen Dienstleistungen a. n. g.","960900","96","9",196,244,24.4897959183674,"2"
