"X1","X2015","X2020","NOGA6","NOGA2.x","NOGA1","Name","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Dlnum","Produktionslevel","Owncat","Owncattxt"
"494","1064","1165","477400","47","4","Detailhandel mit medizinischen und orthopädischen Artikeln","9","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"495","3881","4318","477501","47","4","Drogerien","11","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"496","3278","3409","477502","47","4","Parfümerien und sonstiger Detailhandel mit kosmetischen Artikeln und Körperpflegemitteln","4","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"497","579","415","477601","47","4","Detailhandel mit Getreide, Futtermitteln und Landesprodukten","-""28","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"498","6793","7074","477602","47","4","Detailhandel mit Blumen und Pflanzen","4","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"499","1833","2000","477603","47","4","Detailhandel mit Haustieren und zoologischem Bedarf für Haustiere","9","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"500","7036","6300","477700","47","4","Detailhandel mit Uhren und Schmuck","-""10","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"501","345","355","477801","47","4","Detailhandel mit Brennstoffen und Heizmaterial","3","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"502","7690","8161","477802","47","4","Detailhandel mit Brillen und anderen Sehhilfen","6","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"503","544","393","477803","47","4","Detailhandel mit fotografischen Artikeln","-""28","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"504","1769","1293","477804","47","4","Detailhandel mit Geschenkartikeln und Souvenirs","-""27","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"505","1707","1539","477805","47","4","Kunsthandel","-""10","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"506","3148","3321","477806","47","4","Sonstiger Fachdetailhandel a. n. g. (in Verkaufsräumen)","5","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"507","719","558","477901","47","4","Detailhandel mit Antiquitäten","-""22","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"508","2539","2759","477902","47","4","Detailhandel mit Gebrauchtwaren a. n. g. (in Verkaufsräumen)","9","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"509","658","649","478100","47","4","Detailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Mä","-""1","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"510","129","80","478200","47","4","Detailhandel mit Textilien, Bekleidung und Schuhen an Verkaufsständen und auf Märkten","-""38","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"511","519","425","478900","47","4","Detailhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten","-""18","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"512","6870","8344","479100","47","4","Versand- und Internet-Detailhandel","21","4","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"513","3427","3167","479900","47","4","Sonstiger Detailhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten","-""8","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"514","30213","31050","491000","49","4","Personenbeförderung im Eisenbahnfernverkehr","3","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"515","3896","4293","492000","49","4","Güterbeförderung im Eisenbahnverkehr","10","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"516","14507","16463","493100","49","4","Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)","13","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"517","9529","8559","493200","49","4","Betrieb von Taxis","-""10","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"518","3852","3869","493901","49","4","Nicht-regelmässiger Personenbeförderung im Landverkehr","","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"519","6478","7492","493902","49","4","Regelmässige Personenbeförderung im Regional- und Fernverkehr","16","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"520","8137","8860","493903","49","4","Personenbeförderung mittels Zahnrad-, Seilbahnen und Skiliften","9","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"521","39816","41819","494100","49","4","Güterbeförderung im Strassenverkehr","5","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"522","4023","4557","494200","49","4","Umzugstransporte","13","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"523","253","224","495000","49","4","Transport in Rohrfernleitungen","-""11","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"524","583","112","501000","50","5","Personenbeförderung in der See- und Küstenschifffahrt","-""81","","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"525","947","1144","502000","50","5","Güterbeförderung in der See- und Küstenschifffahrt","21","4","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"526","2217","2668","503000","50","5","Personenbeförderung in der Binnenschifffahrt","20","4","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"527","562","772","504000","50","5","Güterbeförderung in der Binnenschifffahrt","37","4","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"528","11006","11822","511000","51","5","Personenbeförderung in der Luftfahrt","7","3","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"529","737","632","512100","51","5","Güterbeförderung in der Luftfahrt","-""14","1","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"530","","X","512200","51","5","Raumtransport","","2","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x4","Grosshandel, Verkehr und Lagerei"
"531","6824","7472","521000","52","5","Lagerung","9","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"532","5087","5445","522100","52","5","Erbringung von sonstigen Dienstleistungen für den Landverkehr","7","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"533","1182","1396","522200","52","5","Erbringung von sonstigen Dienstleistungen für die Schifffahrt","18","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"534","11699","11247","522300","52","5","Erbringung von sonstigen Dienstleistungen für die Luftfahrt","-""4","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"535","102","130","522400","52","5","Frachtumschlag","27","4","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"536","32295","34455","522900","52","5","Erbringung von sonstigen Dienstleistungen für den Verkehr a. n. g.","7","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"537","33101","29294","531000","53","5","Postdienste von Universaldienstleistungsanbietern","-""12","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"538","14409","14812","532000","53","5","Sonstige Post-, Kurier- und Expressdienste","3","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x4","Grosshandel, Verkehr und Lagerei"
"539","67072","57234","551001","55","5","Hotels, Gasthöfe und Pensionen mit Restaurant","-""15","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"540","3361","3535","551002","55","5","Hotels, Gasthöfe und Pensionen ohne Restaurant","5","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"541","1132","1040","551003","55","5","Verwaltung von Hotels, Gasthöfen und Pensionen","-""8","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"542","2371","2554","552001","55","5","Ferienwohnungen, Ferienhäuser","8","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"543","1887","1583","552002","55","5","Kollektivunterkünfte","-""16","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"544","130","108","552003","55","5","Verwaltung von Ferien- und Kollektivunterkünften","-""17","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"545","909","1035","553001","55","5","Campingplätze","14","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"546","29","27","553002","55","5","Verwaltung von Campingplätzen","-""7","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"547","238","314","559000","55","5","Sonstige Beherbergungsstätten","32","4","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"548","132897","131365","561001","56","5","Restaurants, Imbissstuben, Tea-Rooms und Gelaterias","-""1","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"549","5196","4854","561002","56","5","Restaurants mit Beherbergungsangebot","-""7","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"550","","","561003","56","5","Verwaltung von Restaurantssbetrieben","","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"551","10215","7672","562100","56","5","Event-Caterer","-""25","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"552","12245","11734","562900","56","5","Erbringung sonstiger Verpflegungsdienstleistungen","-""4","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"553","9923","9575","563001","56","5","Bars","-""4","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"554","3970","2558","563002","56","5","Diskotheken, Dancings, Night Clubs","-""36","","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x5","Detailhandel und Gastgewerbe"
"555","2633","2575","581100","58","5","Verlegen von Büchern","-""2","2","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"556","933","716","581200","58","5","Verlegen von Adressbüchern und Verzeichnissen","-""23","","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"557","9521","7626","581300","58","5","Verlegen von Zeitungen","-""20","1","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"558","4339","4471","581400","58","5","Verlegen von Zeitschriften","3","2","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"559","1548","1390","581900","58","5","Sonstiges Verlagswesen (ohne Software)","-""10","1","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"560","X","X","582100","58","5","Verlegen von Computerspielen","","2","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"561","309","337","582900","58","5","Verlegen von sonstiger Software","9","3","x","Tertiärsektor (Dienstleistungssektor)","Andere wissensintensive Dienstleistungen","3","","x6","ICT"
"562","4621","5312","591100","59","5","Herstellung von Filmen, Videofilmen und Fernsehprogrammen","15","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"563","173","193","591200","59","5","Nachbearbeitung und sonstige Filmtechnik","12","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"564","504","533","591300","59","5","Filmverleih und -vertrieb (ohne Videotheken)","6","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"565","2846","2301","591400","59","5","Kinos","-""19","1","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"566","1599","1555","592000","59","5","Tonstudios, Herstellung von Radiobeiträgen, Verlegen von bespielten Tonträgern und Musikalien","-""3","2","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"567","3956","3760","601000","60","6","Radioveranstalter","-""5","2","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"568","6443","5840","602000","60","6","Fernsehveranstalter","-""9","1","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"569","22710","20514","611000","61","6","Leitungsgebundene Telekommunikation","-""10","1","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"570","3739","3764","612000","61","6","Drahtlose Telekommunikation","1","2","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"571","325","321","613000","61","6","Satellitentelekommunikation","-""1","2","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"572","1574","1775","619000","61","6","Sonstige Telekommunikation","13","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"573","43650","54396","620100","62","6","Programmierungstätigkeiten","25","4","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"574","40488","46494","620200","62","6","Erbringung von Beratungsleistungen auf dem Gebiet der Informationstechnologie","15","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"575","371","487","620300","62","6","Betrieb von Datenverarbeitungsanlagen für Dritte","31","4","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"576","6122","8886","620900","62","6","Erbringung von sonstigen Dienstleistungen der Informationstechnologie","45","4","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"577","3570","4101","631100","63","6","Datenverarbeitung, Hosting und damit verbundene Tätigkeiten","15","3","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"578","5246","9415","631200","63","6","Webportale","79","4","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"579","936","610","639100","63","6","Korrespondenz- und Nachrichtenbüros","-""35","","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"580","423","515","639900","63","6","Erbringung von sonstigen Informationsdienstleistungen a. n. g.","22","4","x","Tertiärsektor (Dienstleistungssektor)","Spitzentechnologie nutzende wissensintensive Dienstleistungen","4","High tech knowledge-intensive services","x6","ICT"
"581","959","1030","641100","64","6","Schweizerische Nationalbank","7","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"582","217","116","641901","64","6","Institute mit besonderem Geschäftskreis","-""47","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"583","20102","20469","641902","64","6","Kantonalbanken","2","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"584","39321","25053","641903","64","6","Grossbanken","-""36","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"585","5071","5143","641904","64","6","Regionalbanken und Sparkassen","1","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"586","11642","12312","641905","64","6","Raiffeisenbanken","6","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"587","","","641906","64","6","Handelsbanken","","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"588","13679","14957","641907","64","6","Börsenbanken","9","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"589","16478","13321","641908","64","6","Ausländisch beherrschte Banken","-""19","1","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"590","1086","1115","641909","64","6","Filialen ausländischer Banken","3","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"591","1015","601","641910","64","6","Privatbankiers","-""41","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"592","9296","8932","641911","64","6","Andere Banken","-""4","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"593","447","174","641912","64","6","Sonstige Kreditinstitute (ohne Spezialkreditinstitute) a. n. g.","-""61","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"594","95","95","642001","64","6","Finanzholdinggesellschaften","","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"595","2557","2818","642002","64","6","Andere Holdinggesellschaften","10","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"596","134","137","643000","64","6","Treuhand- und sonstige Fonds und ähnliche Finanzinstitutionen","2","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"597","1255","1274","649100","64","6","Institutionen für Finanzierungsleasing","2","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"598","15","29","649201","64","6","Kleinkreditinstitute","93","4","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"599","1409","1492","649202","64","6","Sonstige Spezialkreditinstitute","6","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"600","7402","9624","649901","64","6","Investmentgesellschaften","30","4","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"601","480","612","649902","64","6","Tresorerie innerhalb einer Unternehmensgruppe","28","4","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"602","364","377","649903","64","6","Sonstige Finanzierungsinstitutionen a. n. g.","4","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"603","3487","3705","651100","65","6","Lebensversicherungen","6","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"604","3223","3227","651201","65","6","Unfallversicherung (SUVA)","","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"605","19760","21203","651202","65","6","Unfall- und Schadenversicherung","7","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"606","15040","12917","651203","65","6","Krankenkassen","-""14","1","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"607","2372","2593","651204","65","6","Sonstige Versicherungen (ohne Sozialversicherung) a. n. g.","9","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"608","4495","2148","652000","65","6","Rückversicherungen","-""52","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"609","5125","5653","653000","65","6","Pensionskassen und Pensionsfonds","10","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"610","332","248","661100","66","6","Effekten- und Warenbörsen","-""25","","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"611","1541","1939","661200","66","6","Effekten- und Warenhandel","26","4","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"612","14406","15054","661900","66","6","Sonstige mit Finanzdienstleistungen verbundene Tätigkeiten","4","2","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"613","828","717","662100","66","6","Risiko- und Schadensbewertung","-""13","1","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"614","23055","24711","662200","66","6","Tätigkeit von Versicherungsmaklerinnen und -maklern","7","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"615","6340","6917","662901","66","6","Ausgleichskassen","9","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"616","4264","7189","662902","66","6","Sonstige mit Versicherungsdienstleistungen und Pensionskassen verbundene Tätigkeiten a. n. g.","69","4","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"617","1386","1574","663001","66","6","Fondsleitungen","14","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"618","16502","18528","663002","66","6","Fondsmanagement","12","3","x","Tertiärsektor (Dienstleistungssektor)","Wissensintensive Finanzdienstleistungen","5","","x7","Finanzwesen"
"619","9159","10825","681000","68","6","Kauf und Verkauf von eigenen Grundstücken, Gebäuden und Wohnungen","18","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x0","Sonstige DL"
"620","1243","1136","682001","68","6","Vermietung und Verpachtung von eigenen oder geleasten Grundstücken","-""9","1","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x0","Sonstige DL"
"621","10468","11850","682002","68","6","Vermietung und Verpachtung von eigenen oder geleasten Gebäuden und Wohnungen","13","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x0","Sonstige DL"
"622","13973","15920","683100","68","6","Vermittlung von Grundstücken, Gebäuden und Wohnungen für Dritte","14","3","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x0","Sonstige DL"
"623","34819","35180","683200","68","6","Verwaltung von Grundstücken, Gebäuden und Wohnungen für Dritte","1","2","x","Tertiärsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","1","","x0","Sonstige DL"
"624","26955","28659","691001","69","6","Advokatur-, Notariatsbüros","6","3","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
"625","2694","2858","691002","69","6","Patentanwaltsbüros, Patentverwertung","6","3","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
"626","53816","56177","692000","69","6","Wirtschaftsprüfung und Steuerberatung, Buchführung, Treuhandgesellschaften","4","2","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
"627","1138","889","701001","70","7","Firmensitzaktivitäten von Finanzgesellschaften","-""22","","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
"628","51106","54056","701002","70","7","Firmensitzaktivitäten von anderen Gesellschaften","6","3","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
"629","5198","5791","702100","70","7","Public-Relations-Beratung","11","3","x","Tertiärsektor (Dienstleistungssektor)","Marktbezogene wissensintensive Dienstleistungen","2","","x8","Wissenschaftliche und technische DL"
