,"Name","NOGA6","NOGA2","NOGA1","y2015","y2020","DeltaP5b","Wgroup","Cluster"
49," Herstellung von Geräten der Unterhaltungselektronik","264000","26","2",4,4,"0","2","Industrie, Produktion"
50," Herstellung von Mess-, Kontroll-, Navigations- u. ä. Instrumenten und Vorrichtungen","265100","26","2",306,124,"-59.47712418","0","Life Sciences, Chemie, Pharma"
51," Herstellung und Zusammensetzung von Uhren","265201","26","2",13,10,"-23.07692308","0","Industrie, Produktion"
52," Herstellung von Bestrahlungs- und Elektrotherapiegeräten und elektromedizinischen Geräten","266000","26","2",367,465,"26.70299728","4","Life Sciences, Chemie, Pharma"
53," Herstellung von elektrischen Lampen und Leuchten","274000","27","2",418,335,"-19.85645933","1","MEM-Industrie"
54," Herstellung von Hebezeugen und Fördermitteln","282200","28","2",6,10,"66.66666667","4","MEM-Industrie"
55," Herstellung von kälte- und lufttechnischen Erzeugnissen, nicht für den Haushalt","282500","28","2",52,58,"11.53846154","3","MEM-Industrie"
56," Herstellung von sonstigen nicht wirtschaftszweigspezifischen Maschinen a. n. g.","282900","28","2",7,11,"57.14285714","4","MEM-Industrie"
57," Herstellung von sonstigen Werkzeugmaschinen","284900","28","2",8,6,"-25","0","MEM-Industrie"
58," Sonstige Herstellung von Maschinen für sonstige bestimmte Wirtschaftszweige a. n. g.","289902","28","2",10,13,"30","4","MEM-Industrie"
59," Herstellung von Matratzen","310300","31","3",33,33,"0","2","Industrie, Produktion"
60," Herstellung von sonstigen Möbeln","310900","31","3",23,20,"-13.04347826","1","Industrie, Produktion"
61," Herstellung von Münzen","321100","32","3",15,8,"-46.66666667","0","Industrie, Produktion"
62," Herstellung von Schmuck, Gold- und Silberschmiedwaren a. n. g. (ohne Fantasieschmuck)","321202","32","3",102,95,"-6.862745098","1","Kreativwirtschaft"
63," Herstellung von Musikinstrumenten","322000","32","3",31,34,"9.677419355","3","Kreativwirtschaft"
64," Herstellung von Spielwaren","324000","32","3",4,5,"25","4","Industrie, Produktion"
65," Herstellung von medizinischen und zahnmedizinischen Apparaten und Materialien","325001","32","3",14,37,"164.2857143","4","Life Sciences, Chemie, Pharma"
66," Herstellung von orthopädischen und prothetischen Erzeugnissen","325002","32","3",119,123,"3.361344538","2","Life Sciences, Chemie, Pharma"
67," Zahntechnische Laboratorien","325003","32","3",596,712,"19.46308725","3","Life Sciences, Chemie, Pharma"
68," Herstellung von Brillen","325004","32","3",215,211,"-1.860465116","2","Life Sciences"
69," Herstellung von sonstigen Erzeugnissen a. n. g.","329900","32","3",33,31,"-6.060606061","1","Industrie, Produktion"
70," Reparatur von Maschinen","331200","33","3",25,58,"132","4","Industrie, Produktion"
71," Reparatur von elektronischen und optischen Geräten","331300","33","3",8,5,"-37.5","0","Industrie, Produktion"
72," Reparatur und Instandhaltung von Luft- und Raumfahrzeugen","331600","33","3",1218,973,"-20.11494253","0","MEM-Industrie"
73," Installation von Maschinen und Ausrüstungen a. n. g.","332000","33","3",10,19,"90","4","Industrie, Produktion"
74," Elektrizitätserzeugung","351100","35","3",4,6,"50","4","Industrie, Produktion"
75," Elektrizitätsverteilung","351300","35","3",568,575,"1.232394366","2","Industrie, Produktion"
76," Gasverteilung durch Rohrleitungen","352200","35","3",276,345,"25","4","Industrie, Produktion"
77," Wärme- und Kälteversorgung","353000","35","3",54,9,"-83.33333333","0","Industrie, Produktion"
78," Abwasserentsorgung","370000","37","3",16,8,"-50","0","Industrie, Produktion"
79," Behandlung und Beseitigung nicht gefährlicher Abfälle","382100","38","3",18,105,"483.3333333","4","Industrie, Produktion"
80," Rückgewinnung sortierter Werkstoffe","383200","38","3",244,204,"-16.39344262","1","Industrie, Produktion"
81," Entwicklung von Bauprojekten","411000","41","4",15,45,"200","4","Bau"
82," Allgemeiner Hochbau","412001","41","4",338,398,"17.75147929","3","Bau"
83," Allgemeiner Hoch- und Tiefbau ohne ausgeprägten Schwerpunkt","412003","41","4",913,932,"2.081051479","2","Bau"
84," Unterhalt und Reparatur von Gebäuden","412004","41","4",163,102,"-37.42331288","0","Bau"
85," Bau von Strassen","421100","42","4",116,130,"12.06896552","3","Bau"
86," Bau von Bahnverkehrsstrecken","421200","42","4",167,193,"15.56886228","3","Bau"
87," Rohrleitungstiefbau, Brunnenbau und Kläranlagenbau","422100","42","4",14,13,"-7.142857143","1","Bau"
